"CUSTOMER_ID_","EMAIL_ADDRESS_","MOBILE_NUMBER_","QA_SR_SRA","QA_APELLIDOS","QA_NOMBRES","QA_FECHA_NAC","QA_FECHA_CUMPL_DIA","QA_FECHA_CUMPL_MES","QA_SEXO","QA_EDAD","QA_VIP","QA_NO_LLAMAR_NUNCA","QA_CLIENTE","QA_DIRECCION","QA_NO_LLAMAR_NUNCA_CORREO","QA_NRO_DE_AFILIADO","COUNTRY_"
"Otros1673274453","mailbox-murray-8bgbl6hs4p@yopmail.com","","","ROMERO","DIEGO QA ADTG","1980-01-01","01","01","",43,"","N","TRAVEL ACE COLOMBIA","","N","",""
"Otros1673281442","mailbox-murray-zxjpmysfql@yopmail.com","","","ROMERO","DIEGO QA ADTD","1980-01-01","01","01","",43,"","N","ASISTENCIA EN VIAJES MEXICO","","N","",""
"Otros1673288303","mailbox-murray-8uivdzvxlg@yopmail.com","","","ROMERO","DIEGO QA ADTN","1980-01-01","01","01","",43,"","N","TRAVEL ACE COLOMBIA","","N","",""
"Otros1673289179","mailbox-murray-29w34thjk3@yopmail.com","","","ROMERO","DIEGO QA ADTW","1980-01-01","01","01","",43,"","N","ASISTENCIA EN VIAJES MEXICO","","N","",""
"Otros1673443490","mailbox-murray-wfebnwewvy@yopmail.com","","","ROMERO","DIEGO QA ADTC","1980-01-01","01","01","",43,"","N","ASISTENCIA EN VIAJES MEXICO","","N","",""
"Otros1673464846","mailbox-murray-mv4og9yiga@yopmail.com","","","ROMERO","DIEGO QA ADTL","1980-01-01","01","01","",43,"","N","TRAVEL ACE COLOMBIA","","N","",""
"Otros1673616333","mailbox-murray-v4ko5gewg5@yopmail.com","","","ROMERO","DIEGO QA ADTY","1980-01-01","01","01","",43,"","N","TRAVEL ACE COLOMBIA","","N","",""
"Otros1673618106","mailbox-murray-pzjkqewthj@yopmail.com","","","ROMERO","DIEGO QA ADTP","1980-01-01","01","01","",43,"","N","ASISTENCIA EN VIAJES MEXICO","","N","",""
"Otros1673882803","mailbox-murray-4yjfoosyxp@yopmail.com","","","ROMERO","DIEGO QA ADTV","1980-01-01","01","01","",43,"","N","ASISTENCIA EN VIAJES MEXICO","","N","",""
"RUT121619687","soledad.aravena@anschile.cl","56987678767","","APELLIDO","PRINCIPAL","1988-01-19","19","01","",35,"","N","TRAVEL ACE CHILE S.A","","N","",""
"RUT156814725","soledad.aravena@anschile.cl","56987678767","","APEL","CONYUGE","1988-01-19","19","01","",35,"","N","TRAVEL ACE CHILE S.A","","N","",""
"RUT154488952","soledad.aravena@anschile.cl","56987678767","","PRUEBA","PRUEBA","1988-01-19","19","01","",35,"","N","TRAVEL ACE CHILE S.A","","N","",""
"RUT145429900","jmouzza@acl.cl","56952566778","","DENIS","RICARDO","1988-01-17","17","01","",35,"","N","BCI SEGUROS","","N","",""
"DNI30333030","lucasfull92@hotmail.com","11123123123","","ARGAÑARAZ","LUCAS ARIEL","1992-09-03","03","09","",30,"","N","","","N","",""
"CI55555555","rperez@switch.com.uy","","","MARTIN","RODRI","2000-02-10","10","02","",23,"","N","SURVIEW S.A.","","N","",""
"Otros1673034694","mailbox-murray-9rbx9ixivh@yopmail.com","","","ROMERO","DIEGO QA ADTG","1980-01-01","01","01","",43,"","N","ASISTENCIA EN VIAJES MEXICO","","N","",""
"Otros1673369428","mailbox-murray-ho0pmdhg9h@yopmail.com","","","ROMERO","DIEGO QA ADTU","1980-01-01","01","01","",43,"","N","TRAVEL ACE COLOMBIA","","N","",""
"Otros1673464848","mailbox-murray-soyl7p8tyo@yopmail.com","","","ROMERO","DIEGO QA ADTD","1980-01-01","01","01","",43,"","N","TRAVEL ACE COLOMBIA","","N","",""
"Pasaporte40156123P","juan.murguia@universal-assistance.com","1118334892","","RODRIGUEZ","NORMAN","2000-12-12","12","12","",22,"","N","CF TLMK ARGENTINA","","N","",""
"Pasaporte40156789P","juan.murguia@universal-asisstance.com","1118334892","","MURGUIA","EMILIANO","2000-12-12","12","12","",22,"","N","CF TLMK ARGENTINA","","N","",""
"Pasaporte111111231","belen.brizuela@universal-assistance.com","01115121212","","TRAN","JONATHAN","1996-11-11","11","11","",26,"","N","TRAVEL ACE CHILE S.A","DIRECCION FALSA","N","","CHILE"
"RUT111111232","belen.brizuela@universal-assistance.com","01115121212","","ROTH","ANDREW","1996-11-11","11","11","",26,"","N","TRAVEL ACE CHILE S.A","","N","",""
"RUT111111233","belen.brizuela@universal-assistance.com","01115121212","","GARDNER","ANDREA","1992-11-11","11","11","",30,"","N","TRAVEL ACE CHILE S.A","","N","",""
"Otros1673541654","mailbox-murray-gf3vofqzcb@yopmail.com","","","ROMERO","DIEGO QA ADTB","1980-01-01","01","01","",43,"","N","TRAVEL ACE COLOMBIA","","N","",""
"RUT131023049","prueba@saludDOS.cl","56987678767","","PRUEBA","PRUEBA","2023-01-16","16","01","",0,"","N","TRAVEL ACE CHILE S.A","","N","",""
"RUT182175692","prueba@saludDOS.cl","56987678767","","DFGHJK","FGHJKL","1990-01-16","16","01","",33,"","N","TRAVEL ACE CHILE S.A","","N","",""
"RUT193619193","miguel.povea@anschile.cl","56999999999","","POVEA","MIGUEL","1997-02-11","11","02","",26,"","N","TRAVEL ACE CHILE S.A","","N","",""
"Otros1673268894","mailbox-murray-i68uyiwdqn@yopmail.com","","","ROMERO","DIEGO QA ADTJ","1980-01-01","01","01","",43,"","N","ASISTENCIA EN VIAJES MEXICO","","N","",""
"Otros1673272610","mailbox-murray-vdzc9fjudp@yopmail.com","","","ROMERO","DIEGO QA ADTJ","1980-01-01","01","01","",43,"","N","ASISTENCIA EN VIAJES MEXICO","","N","",""
